@RELATION tweets_to_be_classified

@ATTRIBUTE tweet STRING

@DATA
'#SAVE 18\% Gored Crinkle #Skirt buy now from $44.95 #deal http://t.co/KKGfWVw5h3'
'Easy web hosting. $4.95 -  http://t.co/0oUGS6Oj0e  - Review/Coupon- http://t.co/zdgH4kv5sv  #wordpress #deal #bluehost #blue host'
'Famous Footwear - 15\% Off Sitewide http://t.co/vgmQxfJV4W #Deal - http://t.co/QImHB6xJ5b'
'Team 32GB Class 10 SDHC Card for $17 + free shipping http://t.co/uD4yJgjRiK &lt;- link #deal'
'ATTN #SINGERS: PLAY THIS CRAZY#SMASH. TAKEN:  http://t.co/tNN88rMXHY. 4 FOR $15 #DEAL http://t.co/Yd7PdG6HzR'
'Save 10\% on PG Tips Tea http://t.co/eB2HkiK9CE #deal #cybermonday'
'Dian Griesel, Tom Griesel #weight #deal http://t.co/EK6Mf6fnCz'
'#Deal &amp; #Schnäppchen Update: 81137 Silverlit Feuerwehrstation incl. Feuerwehrfahrzeug für nur 21,78 € - http://t.co/2D6mTsZBYU'
'IQ Mission Epilogue is a challenging puzzler that will tickle your brain, #FREE today as 3MS Premium #deal.http://t.co/GUfMujuhHj'
'#STEVEMADDEN WOMEN S379 TS #SUNGLASSES  http://t.co/XLkR8FERxc Sale! #fashion #accessories #deal'
'RT @SLRCameraTree: Canon EOS Digital Rebel T2i 18MP w/ Full HD 1080p Video, 3.7... http://t.co/a5qFtfvdkB &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS Rebel T3 Digital SLR Camera Review http://t.co/DAjIxmgMFT &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS 5D Mark II Full Frame CMOS Digital SLR Camera with... http://t.co/fD5OhSbeWK &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS 60D 18 MP CMOS Digital SLR Camera w/ EF-S 18-55mm... http://t.co/cfvumgTsWg &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Jolly Phonics Letter Sound Strips(Jolly Phonics) By (author) Sue Lloyd - Jolly Phonics Letter Sound... http://t.co/K6Ii9GYE8u  #Books #Deal'
'Physical Management for Neurological Conditions(Physiotherapy Essentials) - Physical Management for... http://t.co/jJWqobikbx  #Books #Deal'
'Feeling Good: The New Mood Therapy - Feeling Good: The New Mood Therapy By (author) David D. Burns... http://t.co/na4HuNMj8a  #Books #Deal'
'Passing Your ITIL Foundation Exam: Study Aid from the Official Publisher of ITIL By (author) Office... http://t.co/3OOXh4MIPZ  #Books #Deal'
'RT @SLRCameraTree: Canon EOS Digital Rebel T2i 18MP w/ Full HD 1080p Video, 3.7... http://t.co/a5qFtfvdkB &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS Rebel T3 Digital SLR Camera Review http://t.co/DAjIxmgMFT &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS 5D Mark II Full Frame CMOS Digital SLR Camera with... http://t.co/fD5OhSbeWK &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'RT @SLRCameraTree: Canon EOS 60D 18 MP CMOS Digital SLR Camera w/ EF-S 18-55mm... http://t.co/cfvumgTsWg &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Canon EOS 60D 18 MP CMOS Digital SLR Camera w/ EF-S 18-55mm... http://t.co/cfvumgTsWg &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Canon EOS 5D Mark II Full Frame CMOS Digital SLR Camera with... http://t.co/fD5OhSbeWK &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Canon EOS Rebel T3 Digital SLR Camera Review http://t.co/DAjIxmgMFT &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Canon EOS Digital Rebel T2i 18MP w/ Full HD 1080p Video, 3.7... http://t.co/a5qFtfvdkB &lt;&lt;== #Deal #SLR #Cameras #Nikon #Canon #Sony #DSLR'
'Mineral Line - Dead Sea, Body LotionBuy Now -&gt;http://t.co/nBhaZlRgQo #save #deal'
'ATTN #SINGERS: PLAY THIS CRAZY#TRACK. TAKEN:  http://t.co/tNN88rMXHY. 4 FOR $15 #DEAL http://t.co/Yd7PdG6HzR'
'#China #Book #Deal A Thousand Splendid Suns By (author) Khaled Hosseini: A Thousand Splendid Suns By (author) ... http://t.co/z662w8Tv8S'
'#Gadget #Deal A Thousand Splendid Suns By (author) Khaled Hosseini: A Thousand Splendid Suns By (author) Khale... http://t.co/z662w8Tv8S'
'ATTN #RAPPERS: PLAY THIS HOT#HIT. TAKEN:  http://t.co/tNN88rMXHY. 4 FOR $15 #DEAL http://t.co/Yd7PdG6HzR'
'Want a #deal? How about #FREE stuff? Check out companies who allow me to offer my followers special #discounts! http://t.co/xXjw5Xq3yh'
'Trendi365-Paisley Lace Blouse! $34.99 http://t.co/8qF8QIYOep #fashion #sale #deal #style #clothes http://t.co/B3AK4tFYyS'
'SAVE $50.00 - Discovery Kids Digital Camcorder Blue $29.99 http://t.co/68ceO0x2VV #deal #camcorder'
'Battpit™ Laptop / Notebook Battery Replacement for Sony VAIO VGN-AR18CP (6600 mAh) with FREE 8... http://t.co/RmGg39GjEH #discount #deal'
